plot_id,year,date,date2,yield_DM,yield15,frac,DM,reg,dicot,monocot,cirar,equar,soil,volunteer,clover,lolpe,radish,senss,verss,capbp,paprh,cirss,gerss,matin,tarof,ephex,lamss,weedcov
3_05_02,2019,01-11-19,2019-11-01,NA,NA,NA,NA,1,NA,NA,NA,NA,21.31147541,13.1147541,9.836065574,54.09836066,0,0,0,0,0,0,1.639344262,0,0,0,0,1.639344262
3_05_02,2019,01-11-19,2019-11-01,NA,NA,NA,NA,2,NA,NA,NA,NA,27.11864407,5.084745763,10.16949153,55.93220339,0,0,0,0,0,0,1.694915254,0,0,0,0,1.694915254
3_05_02,2019,01-11-19,2019-11-01,NA,NA,NA,NA,3,NA,NA,NA,NA,22.95081967,26.2295082,8.196721311,42.62295082,0,0,0,0,0,0,0,0,0,0,0,0
3_05_03,2019,01-11-19,2019-11-01,NA,NA,NA,NA,1,NA,NA,NA,NA,36.06557377,24.59016393,0,6.557377049,32.78688525,0,0,0,0,0,0,0,0,0,0,0
3_05_03,2019,01-11-19,2019-11-01,NA,NA,NA,NA,2,NA,NA,NA,NA,49.18032787,13.1147541,0,8.196721311,29.50819672,0,0,0,0,0,0,0,0,0,0,0
3_05_03,2019,01-11-19,2019-11-01,NA,NA,NA,NA,3,NA,NA,NA,NA,31.66666667,30,0,6.666666667,31.66666667,0,0,0,0,0,0,0,0,0,0,0
3_05_04,2019,01-11-19,2019-11-01,NA,NA,NA,NA,1,NA,NA,NA,NA,40.98360656,34.42622951,0,3.278688525,21.31147541,0,0,0,0,0,0,0,0,0,0,0
3_05_04,2019,01-11-19,2019-11-01,NA,NA,NA,NA,2,NA,NA,NA,NA,31.25,57.8125,0,1.5625,9.375,0,0,0,0,0,0,0,0,0,0,0
3_05_04,2019,01-11-19,2019-11-01,NA,NA,NA,NA,3,NA,NA,NA,NA,33.33333333,35,0,1.666666667,30,0,0,0,0,0,0,0,0,0,0,0
3_05_05,2019,01-11-19,2019-11-01,NA,NA,NA,NA,1,NA,NA,NA,NA,29.03225806,54.83870968,0,16.12903226,0,0,0,0,0,0,0,0,0,0,0,0
3_05_05,2019,01-11-19,2019-11-01,NA,NA,NA,NA,2,NA,NA,NA,NA,37.70491803,36.06557377,8.196721311,18.03278689,0,0,0,0,0,0,0,0,0,0,0,0
3_05_05,2019,01-11-19,2019-11-01,NA,NA,NA,NA,3,NA,NA,NA,NA,34.42622951,54.09836066,1.639344262,9.836065574,0,0,0,0,0,0,0,0,0,0,0,0
3_05_06,2019,01-11-19,2019-11-01,NA,NA,NA,NA,1,NA,NA,NA,NA,50,33.87096774,0,11.29032258,0,0,0,0,0,0,0,0,0,0,4.838709677,4.838709677
3_05_06,2019,01-11-19,2019-11-01,NA,NA,NA,NA,2,NA,NA,NA,NA,41.93548387,43.5483871,0,4.838709677,0,0,0,0,4.838709677,0,4.838709677,0,0,0,0,9.677419354
3_05_06,2019,01-11-19,2019-11-01,NA,NA,NA,NA,3,NA,NA,NA,NA,46.875,34.375,0,1.5625,0,0,0,0,17.1875,0,0,0,0,0,0,17.1875
3_06_02,2019,01-11-19,2019-11-01,NA,NA,NA,NA,1,NA,NA,NA,NA,7.8125,4.6875,1.5625,85.9375,0,0,0,0,0,0,0,0,0,0,0,0
