weed_type2,till_id,cctrt_id,straw_id,yearF,response,SE,df,lower.CL,upper.CL
A,inversion,mix_E,removed,Y2019,238.34133974851164,76.22163788051003,354,126.9412447511411,446.73893691621095
P,inversion,mix_E,removed,Y2019,0.10185141103239669,0.3509001802169923,354,-0.41099919802230755,1.0612476721892026
A,notill,mix_E,removed,Y2019,108.10028080097881,34.744528900824534,354,57.32016208751883,203.09530503346673
P,notill,mix_E,removed,Y2019,11.053027552112335,3.8384572527494614,354,5.4430129356565216,21.547754384909027
A,surface,mix_E,removed,Y2019,230.9593867209265,73.8707504367983,354,122.99518069034517,432.92942200162196
P,surface,mix_E,removed,Y2019,9.983128984917123,3.4977329080018635,354,4.871092704123324,19.546281310564506
A,inversion,mix_M,removed,Y2019,234.43460752097934,74.97748369806585,354,124.852879303597,439.4305624573274
P,inversion,mix_M,removed,Y2019,0.10185141103241897,0.3509001802097902,354,-0.4109991980223079,1.0612476721892026
A,notill,mix_M,removed,Y2019,44.93893938814543,14.629905583037939,354,23.556915633724003,84.93856751331391
P,notill,mix_M,removed,Y2019,3.619688068346179,1.4712050640199195,354,1.4694799588205456,7.642110162746014
A,surface,mix_M,removed,Y2019,130.0264909079269,41.727240908192336,354,69.04093968784856,244.11294960001385
P,surface,mix_M,removed,Y2019,1.441615865223718,0.7775671370404071,354,0.3051793448181462,3.567562348408726
A,inversion,nocc,removed,Y2019,196.95026086314178,63.040062856886635,354,104.81541325144794,369.30811081059386
P,inversion,nocc,removed,Y2019,0.3618122248597746,0.43368838151453487,354,-0.27203569868475497,1.5475597256991829
A,notill,nocc,removed,Y2019,29.906551913502916,9.842628985806096,354,15.521269275647304,56.81728602354158
P,notill,nocc,removed,Y2019,0.7479585052572124,0.5566621309858296,354,-0.06561905615243428,2.2699285620271605
A,surface,nocc,removed,Y2019,158.99023784735135,50.95115614701498,354,84.52367175570028,298.295805254593
P,surface,nocc,removed,Y2019,0.1018514110324193,0.3509001802169902,354,-0.4109991980223169,1.0612476721892186
A,inversion,rad_L,removed,Y2019,259.35979207021785,82.9152615709817,354,138.17677537701343,486.0584272643147
P,inversion,rad_L,removed,Y2019,0.361812224859752,0.43368838152173894,354,-0.27203569868475663,1.547559725699189
A,notill,rad_L,removed,Y2019,27.984471699261952,9.230515331448464,354,14.493810603526974,53.22162573060518
P,notill,rad_L,removed,Y2019,1.8951877187218304,0.9220135147763631,354,0.5476387025772774,4.416065075575501
A,surface,rad_L,removed,Y2019,141.21282367024233,45.289686935425735,354,75.0206561017168,265.0393668426535
P,surface,rad_L,removed,Y2019,0.7479585052572115,0.5566621309930323,354,-0.06561905615243528,2.2699285620271605
A,inversion,rad_M,removed,Y2019,271.99891739218316,86.94036995619469,354,144.93309013633157,509.7026023205471
P,inversion,rad_M,removed,Y2019,0.10185141103241886,0.35090018021699243,354,-0.4109991980223193,1.0612476721892026
A,notill,rad_M,removed,Y2019,36.92150649726824,12.07664058013414,354,19.27115227648075,69.94025220710779
P,notill,rad_M,removed,Y2019,2.2749013708599217,1.0429387027395471,354,0.7506167478852783,5.126400311099348
A,surface,rad_M,removed,Y2019,129.29371140331605,41.49387690063506,354,68.64922832679989,242.7421295121277
P,surface,rad_M,removed,Y2019,0.10185141103240722,0.3509001802205925,354,-0.41099919802231855,1.0612476721892214
A,inversion,mix_E,retained,Y2019,265.0772201728858,84.73605748862485,354,141.23305837851515,496.75409389372464
P,inversion,mix_E,retained,Y2019,0.10185141103239624,0.35090018021699,354,-0.410999198022317,1.0612476721891946
A,notill,mix_E,retained,Y2019,159.56334244560108,51.133669419456446,354,84.8300280071933,299.36791943190906
P,notill,mix_E,retained,Y2019,3.5534936128666925,1.4501245025749043,354,1.4340953443675155,7.518279339548967
A,surface,mix_E,retained,Y2019,283.2671704844376,90.52890467347387,354,150.95659751833782,530.7822689829354
P,surface,mix_E,retained,Y2019,0.9755277836288275,0.6291347892673452,354,0.05602936769518549,2.695645351612959
A,inversion,mix_M,retained,Y2019,418.15656780471977,133.48634281159914,354,223.06247532039933,783.1216075230774
P,inversion,mix_M,retained,Y2019,0.10185141103241853,0.3509001802097893,354,-0.41099919802230744,1.061247672189222
A,notill,mix_M,retained,Y2019,48.46461956924091,15.752708348291256,354,25.44158758984229,91.53410298515884
P,notill,mix_M,retained,Y2019,1.6408973277527505,0.8410311399013569,354,0.41170635932633326,3.940360755376837
A,surface,mix_M,retained,Y2019,182.9922123737827,58.59492471797221,354,97.35406077509879,343.19660914265944
P,surface,mix_M,retained,Y2019,0.101851411032407,0.35090018021338937,354,-0.41099919802230667,1.0612476721892186
A,inversion,nocc,retained,Y2019,322.6770484409212,103.07953821378051,354,172.02336703897456,604.5068369107836
P,inversion,nocc,retained,Y2019,0.10185141103240766,0.3509001802133905,354,-0.41099919802231843,1.0612476721892
A,notill,nocc,retained,Y2019,49.31895263117109,16.024782806172947,354,25.898276081225195,93.13231488337568
P,notill,nocc,retained,Y2019,1.036384250696196,0.6485153927299223,354,0.08856053074431425,2.809490330912541
A,surface,nocc,retained,Y2019,215.07247212656785,68.81133758080657,354,114.50274210621919,403.20956558720104
P,surface,nocc,retained,Y2019,0.10185141103239646,0.35090018021339175,354,-0.41099919802231955,1.0612476721892043
A,inversion,rad_L,retained,Y2019,402.242966891966,128.4184313196134,354,214.55577141630468,753.3518286680385
P,inversion,rad_L,retained,Y2019,0.10185141103241897,0.35090018020978925,354,-0.4109991980223182,1.061247672189222
A,notill,rad_L,retained,Y2019,48.86892202350198,15.881464188426222,354,25.657709716125876,92.29043681053656
P,notill,rad_L,retained,Y2019,0.8844520274973349,0.600130425417528,354,0.007344315550180516,2.5252687577825466
