eu,NMDS1,NMDS2,NMDS3,eu_id,date2,subrep,block_id,plot_id,subplot_id,till_id,rot_id,straw_id,cctrt_id,year
30502_1_2018,-0.3536048839554898,-0.20273908338411653,-0.0121036993142893,30502,2018-11-09,1,b1,p05,p05_sp02,surface,R4,retained,mix_E,2018
30502_2_2018,-0.3385136967347595,-0.19740153202355243,-0.03038035721192563,30502,2018-11-09,2,b1,p05,p05_sp02,surface,R4,retained,mix_E,2018
30502_3_2018,-0.26679461615011885,-0.5837605415879812,0.04975778455954137,30502,2018-11-09,3,b1,p05,p05_sp02,surface,R4,retained,mix_E,2018
30503_1_2018,0.635451191420218,-0.06428122054704641,-0.18216561985891466,30503,2018-11-09,1,b1,p05,p05_sp03,surface,R4,retained,rad_M,2018
30503_2_2018,0.4882214120169642,-0.013395051878745236,-0.3616201852257576,30503,2018-11-09,2,b1,p05,p05_sp03,surface,R4,retained,rad_M,2018
30503_3_2018,0.5446599883769547,-0.006039563228008917,-0.3419078059846387,30503,2018-11-09,3,b1,p05,p05_sp03,surface,R4,retained,rad_M,2018
30504_1_2018,0.15500546511500365,0.01566281978773617,-0.3779328073152045,30504,2018-11-09,1,b1,p05,p05_sp04,surface,R4,retained,rad_L,2018
30504_2_2018,0.27543001962550556,-0.006168556608683063,-0.5003404165257108,30504,2018-11-09,2,b1,p05,p05_sp04,surface,R4,retained,rad_L,2018
30504_3_2018,0.7617607787357586,0.02581406386415112,-0.36240681951977605,30504,2018-11-09,3,b1,p05,p05_sp04,surface,R4,retained,rad_L,2018
30505_1_2018,-0.30437890375420606,0.1390799263230266,-0.08100694182125918,30505,2018-11-09,1,b1,p05,p05_sp05,surface,R4,retained,mix_M,2018
30505_2_2018,-0.19331152176985822,0.054725489510384535,-0.36193915115425945,30505,2018-11-09,2,b1,p05,p05_sp05,surface,R4,retained,mix_M,2018
30505_3_2018,-0.32860257201228094,0.15802545200595972,-0.04495908245387298,30505,2018-11-09,3,b1,p05,p05_sp05,surface,R4,retained,mix_M,2018
30506_1_2018,-0.25573053514496463,0.10665882330697089,-0.2476248207345558,30506,2018-11-09,1,b1,p05,p05_sp06,surface,R4,retained,nocc,2018
30506_2_2018,-0.3162317374735507,0.15391694395961997,-0.07564598684099687,30506,2018-11-09,2,b1,p05,p05_sp06,surface,R4,retained,nocc,2018
30506_3_2018,-0.29628571487777006,0.133320875814751,-0.10074193469376133,30506,2018-11-09,3,b1,p05,p05_sp06,surface,R4,retained,nocc,2018
30602_1_2018,-0.29304138817307046,0.12985829477799246,-0.11113852782776619,30602,2018-11-09,1,b1,p06,p06_sp02,inversion,R4,retained,mix_E,2018
30602_2_2018,-0.16475714803734307,0.034958219598609244,-0.4286949519737132,30602,2018-11-09,2,b1,p06,p06_sp02,inversion,R4,retained,mix_E,2018
30602_3_2018,0.02131027709380232,-0.6703971972948402,-0.45016061283625003,30602,2018-11-09,3,b1,p06,p06_sp02,inversion,R4,retained,mix_E,2018
30603_1_2018,0.5334725436361833,-0.006177094218462567,-0.36741673641468203,30603,2018-11-09,1,b1,p06,p06_sp03,inversion,R4,retained,rad_M,2018
30603_2_2018,0.6259914141814459,0.0017915074911671193,-0.3557622011077022,30603,2018-11-09,2,b1,p06,p06_sp03,inversion,R4,retained,rad_M,2018
30603_3_2018,0.6302044420750218,-3.90968497861602e-4,-0.34281633295645897,30603,2018-11-09,3,b1,p06,p06_sp03,inversion,R4,retained,rad_M,2018
30604_1_2018,0.1068530192586187,0.030928976357825867,-0.30145976223731297,30604,2018-11-09,1,b1,p06,p06_sp04,inversion,R4,retained,rad_L,2018
30604_2_2018,0.19374973762917172,0.014706684018327849,-0.33372969890707926,30604,2018-11-09,2,b1,p06,p06_sp04,inversion,R4,retained,rad_L,2018
30604_3_2018,0.616162393570437,-0.0032606461717278427,-0.21444828310987796,30604,2018-11-09,3,b1,p06,p06_sp04,inversion,R4,retained,rad_L,2018
30605_1_2018,-0.23502869512189495,0.11483925382539838,-0.16873356152704524,30605,2018-11-09,1,b1,p06,p06_sp05,inversion,R4,retained,mix_M,2018
30605_2_2018,-0.24634539836284036,0.06472843882999789,-0.2421983561447651,30605,2018-11-09,2,b1,p06,p06_sp05,inversion,R4,retained,mix_M,2018
30605_3_2018,-0.2637744943117359,0.004975126684929322,-0.20138288365661614,30605,2018-11-09,3,b1,p06,p06_sp05,inversion,R4,retained,mix_M,2018
30606_1_2018,-0.3581286464538801,0.16914289440695235,0.03036013357796207,30606,2018-11-09,1,b1,p06,p06_sp06,inversion,R4,retained,nocc,2018
30606_2_2018,-0.25141826407977635,0.09886228691044789,-0.21510707651531627,30606,2018-11-09,2,b1,p06,p06_sp06,inversion,R4,retained,nocc,2018
30606_3_2018,-0.00696187459838981,-0.6661941562287312,-0.37446939857043615,30606,2018-11-09,3,b1,p06,p06_sp06,inversion,R4,retained,nocc,2018
30802_1_2018,-0.21341905392977836,-0.2688121109896408,-0.2328618413170433,30802,2018-11-09,1,b1,p08,p08_sp02,notill,R4,retained,mix_E,2018
30802_2_2018,-0.190104903839294,-0.28921628043719916,-0.2907095070385016,30802,2018-11-09,2,b1,p08,p08_sp02,notill,R4,retained,mix_E,2018
30802_3_2018,-0.27569285069738697,-0.029014293691229775,-0.18657783331907093,30802,2018-11-09,3,b1,p08,p08_sp02,notill,R4,retained,mix_E,2018
30803_1_2018,1.1772375353923756,0.1300751234154365,0.08598207267815922,30803,2018-11-09,1,b1,p08,p08_sp03,notill,R4,retained,rad_M,2018
30803_2_2018,1.1082471166235468,0.111235809122297,0.0551425526664953,30803,2018-11-09,2,b1,p08,p08_sp03,notill,R4,retained,rad_M,2018
30803_3_2018,0.7939054011375538,-7.34568534653102e-4,0.08764131374974428,30803,2018-11-09,3,b1,p08,p08_sp03,notill,R4,retained,rad_M,2018
30804_1_2018,0.03215910459398772,0.07403255768011266,-0.10233442603367626,30804,2018-11-09,1,b1,p08,p08_sp04,notill,R4,retained,rad_L,2018
30804_2_2018,0.31919699981062216,0.017770825530722484,-0.06208287732624042,30804,2018-11-09,2,b1,p08,p08_sp04,notill,R4,retained,rad_L,2018
30804_3_2018,0.6249854398364707,-0.005837025425564403,-0.0745538892108933,30804,2018-11-09,3,b1,p08,p08_sp04,notill,R4,retained,rad_L,2018
30805_1_2018,-0.296780358278553,0.13359437553283635,-0.1000847199061707,30805,2018-11-09,1,b1,p08,p08_sp05,notill,R4,retained,mix_M,2018
30805_2_2018,-0.26845812007184444,0.11342489463331652,-0.16871260975510124,30805,2018-11-09,2,b1,p08,p08_sp05,notill,R4,retained,mix_M,2018
30805_3_2018,-0.3292210511828229,-0.008372495153367314,-0.06062060923160841,30805,2018-11-09,3,b1,p08,p08_sp05,notill,R4,retained,mix_M,2018
30806_1_2018,-0.4383139611569093,0.1912857711035895,0.14435049146779566,30806,2018-11-09,1,b1,p08,p08_sp06,notill,R4,retained,nocc,2018
30806_2_2018,-0.38712720095991277,0.075091848218799,0.057254596469341654,30806,2018-11-09,2,b1,p08,p08_sp06,notill,R4,retained,nocc,2018
30806_3_2018,-0.31581281482695034,0.14639478093098357,-0.054822800630518864,30806,2018-11-09,3,b1,p08,p08_sp06,notill,R4,retained,nocc,2018
31402_1_2018,-0.2582669718167515,-0.4056297427373301,-0.18740674739058558,31402,2018-11-09,1,b1,p14,p14_sp02,surface,R3,removed,mix_E,2018
31402_2_2018,-0.1351372832568857,-0.6695757902359261,-0.1198959130249031,31402,2018-11-09,2,b1,p14,p14_sp02,surface,R3,removed,mix_E,2018
31402_3_2018,0.03389454300230347,-0.7859851918072474,-0.36021794216719305,31402,2018-11-09,3,b1,p14,p14_sp02,surface,R3,removed,mix_E,2018
31403_1_2018,0.2414610438922594,0.025866684631165395,-0.15425363175481652,31403,2018-11-09,1,b1,p14,p14_sp03,surface,R3,removed,rad_M,2018
31403_2_2018,0.71354017655313,0.007444028773293904,-0.19411090713645954,31403,2018-11-09,2,b1,p14,p14_sp03,surface,R3,removed,rad_M,2018
31403_3_2018,0.6477507314262521,-0.0022855018013247736,-0.10691587535675459,31403,2018-11-09,3,b1,p14,p14_sp03,surface,R3,removed,rad_M,2018
31404_1_2018,0.06340569028567437,0.06449754036977351,-0.12591319647209614,31404,2018-11-09,1,b1,p14,p14_sp04,surface,R3,removed,rad_L,2018
31404_2_2018,0.2677140641206783,0.027631717481778683,-0.11829017402546503,31404,2018-11-09,2,b1,p14,p14_sp04,surface,R3,removed,rad_L,2018
31404_3_2018,0.6221984357872525,-2.9015718592421096e-4,-0.36850298186578756,31404,2018-11-09,3,b1,p14,p14_sp04,surface,R3,removed,rad_L,2018
31405_1_2018,-0.27354334306217754,0.11712897353811078,-0.15761958848112342,31405,2018-11-09,1,b1,p14,p14_sp05,surface,R3,removed,mix_M,2018
31405_2_2018,-0.255089825296633,0.10242466364360903,-0.2130940350846794,31405,2018-11-09,2,b1,p14,p14_sp05,surface,R3,removed,mix_M,2018
31405_3_2018,-0.2811742698978463,0.10755027395254463,-0.1690952467694948,31405,2018-11-09,3,b1,p14,p14_sp05,surface,R3,removed,mix_M,2018
31406_1_2018,-0.5739953873056949,0.2535748220948883,0.2895622431538535,31406,2018-11-09,1,b1,p14,p14_sp06,surface,R3,removed,nocc,2018
31406_2_2018,-0.3583606989897807,0.16921805011349178,0.030434146780288357,31406,2018-11-09,2,b1,p14,p14_sp06,surface,R3,removed,nocc,2018
31406_3_2018,-0.23292897351233555,0.07218349154954255,-0.28541469898117583,31406,2018-11-09,3,b1,p14,p14_sp06,surface,R3,removed,nocc,2018
31502_1_2018,-0.41650287694900046,0.17921774567804555,0.10554807987441049,31502,2018-11-09,1,b1,p15,p15_sp02,notill,R3,removed,mix_E,2018
31502_2_2018,-0.4195231686352414,0.04795832272830479,0.09261226999911114,31502,2018-11-09,2,b1,p15,p15_sp02,notill,R3,removed,mix_E,2018
31502_3_2018,-0.304484236443133,-0.5877663128071654,0.3700733774843342,31502,2018-11-09,3,b1,p15,p15_sp02,notill,R3,removed,mix_E,2018
31503_1_2018,0.5251195707157905,-0.023431362811821697,0.07807913902154122,31503,2018-11-09,1,b1,p15,p15_sp03,notill,R3,removed,rad_M,2018
31503_2_2018,0.6014596259406639,-0.010566522334988468,-0.05579244484007851,31503,2018-11-09,2,b1,p15,p15_sp03,notill,R3,removed,rad_M,2018
31503_3_2018,0.8215896956636748,-0.0055493595856774495,0.14974623139497914,31503,2018-11-09,3,b1,p15,p15_sp03,notill,R3,removed,rad_M,2018
31504_1_2018,-0.3398024762145437,-0.30746474280796526,0.18838659914283307,31504,2018-11-09,1,b1,p15,p15_sp04,notill,R3,removed,rad_L,2018
31504_2_2018,-0.09974457875365984,-0.021480189096800203,0.17210883464533178,31504,2018-11-09,2,b1,p15,p15_sp04,notill,R3,removed,rad_L,2018
31504_3_2018,0.1423500365477431,-0.00967922079839068,-0.11093144401862114,31504,2018-11-09,3,b1,p15,p15_sp04,notill,R3,removed,rad_L,2018
31505_1_2018,-0.3291174772040135,0.1534551016988164,-0.02574547933665205,31505,2018-11-09,1,b1,p15,p15_sp05,notill,R3,removed,mix_M,2018
31505_2_2018,-0.34336756502478016,0.16168402547607816,0.003956958767625242,31505,2018-11-09,2,b1,p15,p15_sp05,notill,R3,removed,mix_M,2018
31505_3_2018,-0.3570762422357577,0.16877154540120104,0.028758727505629106,31505,2018-11-09,3,b1,p15,p15_sp05,notill,R3,removed,mix_M,2018
31506_1_2018,-0.36315441575609353,0.1722933317245647,0.038610085004314586,31506,2018-11-09,1,b1,p15,p15_sp06,notill,R3,removed,nocc,2018
31506_2_2018,-0.27009289298952943,0.11370658134510353,-0.16632355576196606,31506,2018-11-09,2,b1,p15,p15_sp06,notill,R3,removed,nocc,2018
31506_3_2018,-0.3151941339574153,0.1454791988428884,-0.05598835064676779,31506,2018-11-09,3,b1,p15,p15_sp06,notill,R3,removed,nocc,2018
31602_1_2018,-0.26430639343923834,-0.1393278632540467,-0.2450281980831174,31602,2018-11-09,1,b1,p16,p16_sp02,inversion,R3,removed,mix_E,2018
31602_2_2018,-0.37459513090309526,-0.14533830691677693,-0.016608708921460283,31602,2018-11-09,2,b1,p16,p16_sp02,inversion,R3,removed,mix_E,2018
31602_3_2018,-0.2271148733324855,-0.4652607876728435,-0.16695123940325268,31602,2018-11-09,3,b1,p16,p16_sp02,inversion,R3,removed,mix_E,2018
31603_1_2018,0.6366618751974383,0.006685962926654417,-0.36191196999148606,31603,2018-11-09,1,b1,p16,p16_sp03,inversion,R3,removed,rad_M,2018
31603_2_2018,0.5809291430285534,-0.008618819047809095,-0.20150178770693106,31603,2018-11-09,2,b1,p16,p16_sp03,inversion,R3,removed,rad_M,2018
31603_3_2018,0.6597836937791676,0.0031780216497688915,-0.20458246810994413,31603,2018-11-09,3,b1,p16,p16_sp03,inversion,R3,removed,rad_M,2018
