eppo_code,NMDS1,NMDS2,NMDS3,year
soil,0.04510946088716278,0.015955365175531942,-0.0629629879329371,2018
horvw,-0.2024654959374722,0.0374063329589651,0.007995131056975116,2018
trfre,-0.32359474414495754,-0.348984570522081,-0.01028352036514075,2018
lolpe,-0.31566497979741237,-0.48960060312694703,0.06016381901823203,2018
rapsr,0.7087298393233772,0.02059999801915112,0.04940624724456964,2018
senss,-0.31407533499953944,0.05472820629120804,-0.08637686855608998,2018
verss,-0.3241460770767646,0.16868522725461463,-0.16085261463585504,2018
capbp,-0.16406199032869034,-0.3310562193566495,-0.4467260458704497,2018
paprh,-0.26184013026369424,0.11663879132358365,-0.19161661503001592,2018
cirar,-0.31309121976176374,-0.24518656761308794,-0.012265045237572282,2018
gerss,-0.308388601658487,-0.18646892723064712,-0.07295249640315012,2018
matin,-0.34082167175308764,-0.3389663498446349,0.2842647045140206,2018
tarof,-0.34827410001734116,-0.4579404799571703,0.11054495506656968,2018
ephex,-0.27372136100139316,-0.8287820003284616,0.16911513978596857,2018
lamss,NA,NA,NA,2018
soil,0.1165403360911641,-0.02243336697285983,-0.06227981121370462,2019
avesa,0.03435089984619882,-0.14961410316053253,0.05216379983569683,2019
trfre,-0.7200044544123158,0.17074006472348766,-0.10318940019319756,2019
lolpe,-0.6023264704753689,0.1323777640516239,0.00815496526220907,2019
rapsr,0.4456260694339615,0.36647973987901034,0.0895696381181989,2019
senss,NA,NA,NA,2019
verss,0.21720033752600662,-0.3528992578516863,-0.2866870789137284,2019
capbp,0.35825781225109365,0.0618207704069538,-0.3408329307656246,2019
paprh,0.23500636836522493,-0.28510269707290437,-0.3292462915667214,2019
cirar,-0.15427488095994107,-0.1966388609610858,-0.25697280794292615,2019
gerss,-0.07938781140730398,-0.12186409428849734,-0.15615610682424985,2019
matin,0.18188306906747292,-0.32942850557386477,-0.24303171149971795,2019
tarof,-0.007567510353149174,-0.287027835468925,-0.1998185286450345,2019
ephex,NA,NA,NA,2019
lamss,-1.703252042477103e-4,-0.19184035996777019,-0.20496171929830043,2019
