cctrt_id,till_id,straw_id,emmean,SE,df,lower.CL,upper.CL,perf_cat
mix_E,inversion,removed,4.296711399698201,0.23109879509564854,3,3.5612518930905375,5.032170906305864,yield
mix_M,inversion,removed,4.046728605214049,0.23109879509564865,3,3.3112690986063855,4.782188111821713,yield
nocc,inversion,removed,4.027949982004207,0.23109879509564865,3,3.2924904753965434,4.763409488611871,yield
rad_L,inversion,removed,3.8832723134582516,0.23109879509564865,3,3.147812806850588,4.618731820065915,yield
rad_M,inversion,removed,4.066276679613961,0.23109879509564865,3,3.330817173006297,4.801736186221625,yield
mix_E,notill,removed,3.3954862793931677,0.23109879509564815,3,2.6600267727855056,4.130945786000829,yield
mix_M,notill,removed,3.518470922595707,0.23109879509564848,3,2.783011415988044,4.25393042920337,yield
nocc,notill,removed,3.7718795118371085,0.2310987950956484,3,3.0364200052294454,4.507339018444771,yield
rad_L,notill,removed,3.3842794410734367,0.23109879509564815,3,2.6488199344657746,4.119738947681099,yield
rad_M,notill,removed,3.936526660140232,0.23109879509564835,3,3.2010671535325694,4.671986166747895,yield
mix_E,surface,removed,4.100950316491484,0.23109879509564807,3,3.365490809883822,4.836409823099146,yield
mix_M,surface,removed,4.0054881628302015,0.23109879509564826,3,3.270028656222539,4.740947669437864,yield
nocc,surface,removed,3.8620679595905174,0.23109879509564826,3,3.126608452982855,4.59752746619818,yield
rad_L,surface,removed,3.9767437975307907,0.23109879509564824,3,3.2412842909231285,4.712203304138453,yield
rad_M,surface,removed,4.420742804924354,0.23109879509564835,3,3.685283298316691,5.156202311532017,yield
mix_E,inversion,retained,3.914992676538771,0.23109879509564843,3,3.179533169931108,4.6504521831464345,yield
mix_M,inversion,retained,3.6461317410756147,0.23109879509564835,3,2.910672234467952,4.381591247683278,yield
nocc,inversion,retained,3.911854125640909,0.23109879509564832,3,3.1763946190332466,4.647313632248572,yield
rad_L,inversion,retained,3.9002723224813076,0.23109879509564837,3,3.1648128158736446,4.635731829088971,yield
rad_M,inversion,retained,4.216949990926201,0.23109879509564835,3,3.4814904843185386,4.952409497533864,yield
mix_E,notill,retained,3.9089742206276363,0.2310987950956483,3,3.1735147140199738,4.644433727235299,yield
mix_M,notill,retained,3.9883733255248095,0.23109879509564835,3,3.252913818917147,4.723832832132472,yield
nocc,notill,retained,3.9670336155381527,0.23109879509564815,3,3.2315741089304906,4.702493122145815,yield
rad_L,notill,retained,4.112954362943364,0.23109879509564832,3,3.377494856335701,4.848413869551027,yield
rad_M,notill,retained,4.293678737030042,0.23109879509564832,3,3.5582192304223796,5.029138243637705,yield
mix_E,surface,retained,3.7519472624098005,0.23109879509564818,3,3.0164877558021383,4.487406769017463,yield
mix_M,surface,retained,3.9377693677948944,0.23109879509564818,3,3.2023098611872323,4.6732288744025565,yield
nocc,surface,retained,3.8713288306541154,0.23109879509564812,3,3.1358693240464532,4.6067883372617775,yield
rad_L,surface,retained,3.9203993449020067,0.23109879509564826,3,3.184939838294344,4.655858851509669,yield
rad_M,surface,retained,4.142170904501304,0.2310987950956482,3,3.406711397893642,4.877630411108966,yield
